"","hexid","variable","est","totpop","share","acc60","cum_pop","cum_acc"
"1",10068,"B03002_004",0,46.8437069484455,0,0,0,0
"2",10069,"B03002_004",0,46.8437069484259,0,0,0,0
"3",10070,"B03002_004",0,46.8437069484416,0,0,0,0
"4",10071,"B03002_004",0,46.8437069484298,0,0,0,0
"5",10072,"B03002_004",0,46.8437069484298,0,0,0,0
"6",1031,"B03002_004",0,8.43126548610724,0,0,0,0
"7",1032,"B03002_004",0,8.43126548610795,0,0,0,0
"8",1033,"B03002_004",0,8.43126548610654,0,0,0,0
"9",1034,"B03002_004",0,8.43126548610936,0,0,0,0
"10",1118,"B03002_004",0,8.43126548610724,0,0,0,0
"11",1119,"B03002_004",0,8.43126548610795,0,0,0,0
"12",11278,"B03002_004",0,102.853338372078,0,0,0,0
"13",11279,"B03002_004",0,95.8009632763141,0,0,0,0
"14",11410,"B03002_004",0,214.691068721035,0,0,0,0
"15",11560,"B03002_004",0,21.9393665165731,0,0,0,0
"16",11561,"B03002_004",0,21.9393665165805,0,0,0,0
"17",11680,"B03002_004",0,61.5066850532196,0,0,0,0
"18",11681,"B03002_004",0,61.5066850531939,0,0,0,0
"19",11682,"B03002_004",0,61.5066850532145,0,0,0,0
"20",11683,"B03002_004",0,61.5066850531991,0,0,0,0
"21",11684,"B03002_004",0,60.4474029242159,0,0,0,0
"22",11685,"B03002_004",0,21.939366516575,0,0,0,0
"23",11686,"B03002_004",0,21.9393665165786,0,0,0,0
"24",11687,"B03002_004",0,21.9393665165786,0,0,0,0
"25",11688,"B03002_004",0,21.9393665165731,0,0,0,0
"26",11789,"B03002_004",0,308.574357479629,0,0,0,0
"27",11806,"B03002_004",0,61.5066850531991,0,0,0,0
"28",11807,"B03002_004",0,61.5066850531991,0,0,0,0
"29",11808,"B03002_004",0,61.5066850531991,0,0,0,0
"30",11809,"B03002_004",0,61.5066850532145,0,0,0,0
"31",11810,"B03002_004",0,41.1777971347394,0,0,0,0
"32",11811,"B03002_004",0,21.9393665165731,0,0,0,0
"33",11812,"B03002_004",0,21.9393665165805,0,0,0,0
"34",11813,"B03002_004",0,21.939366516575,0,0,0,0
"35",11814,"B03002_004",0,21.9393665165786,0,0,0,0
"36",11815,"B03002_004",0,21.939366516575,0,0,0,0
"37",11933,"B03002_004",0,61.5066850531991,0,0,0,0
"38",11934,"B03002_004",0,61.5066850531991,0,0,0,0
"39",11935,"B03002_004",0,24.419585149467,0,0,0,0
"40",11936,"B03002_004",0,21.9393665165786,0,0,0,0
"41",11937,"B03002_004",0,21.9393665165786,0,0,0,0
"42",11938,"B03002_004",0,21.9393665165731,0,0,0,0
"43",11939,"B03002_004",0,21.9393665165731,0,0,0,0
"44",11940,"B03002_004",0,14.8781286843022,0,0,0,0
"45",1197,"B03002_004",0,257.789837071174,0,0,0,0
"46",12053,"B03002_004",0,61.5066850532145,0,0,0,0
"47",12054,"B03002_004",0,51.8852420644375,0,0,0,0
"48",12055,"B03002_004",0,21.9393665165731,0,0,0,0
"49",12056,"B03002_004",0,21.9393665165805,0,0,0,0
"50",12057,"B03002_004",0,21.939366516575,0,0,0,0
"51",12058,"B03002_004",0,21.9393665165786,0,0,0,0
"52",12059,"B03002_004",0,19.1235667992834,0,0,0,0
"53",12162,"B03002_004",0,661.227964291684,0,0,0,0
"54",12163,"B03002_004",0,277.309726718988,0,0,0,0
"55",12172,"B03002_004",0,43.4460926458742,0,0,0,0
"56",12173,"B03002_004",0,26.4222430514476,0,0,0,0
"57",12174,"B03002_004",0,21.9393665165786,0,0,0,0
"58",12175,"B03002_004",0,21.9393665165786,0,0,0,0
"59",12176,"B03002_004",0,21.9393665165731,0,0,0,0
"60",12177,"B03002_004",0,21.7415501255131,0,0,0,0
"61",12178,"B03002_004",0,0.886043929892736,0,0,0,0
"62",12279,"B03002_004",0,246.074474923264,0,0,0,0
"63",12280,"B03002_004",0,162.660814525633,0,0,0,0
"64",12288,"B03002_004",0,21.9393665165786,0,0,0,0
"65",12289,"B03002_004",0,21.9393665165786,0,0,0,0
"66",12290,"B03002_004",0,21.9393665165731,0,0,0,0
"67",12291,"B03002_004",0,21.9393665165805,0,0,0,0
"68",12292,"B03002_004",0,21.939366516575,0,0,0,0
"69",12293,"B03002_004",0,21.9393665165786,0,0,0,0
"70",12294,"B03002_004",0,4.37823208250508,0,0,0,0
"71",12321,"B03002_004",0,56.2314732917488,0,0,0,0
"72",12322,"B03002_004",0,56.2314732917488,0,0,0,0
"73",12323,"B03002_004",0,56.2314732917535,0,0,0,0
"74",12324,"B03002_004",0,56.2314732917488,0,0,0,0
"75",12327,"B03002_004",0,56.2314732917488,0,0,0,0
"76",12328,"B03002_004",0,56.2314732917582,0,0,0,0
"77",12384,"B03002_004",0,201.432332979778,0,0,0,0
"78",12385,"B03002_004",0,701.357405665338,0,0,0,0
"79",12386,"B03002_004",0,847.219483266955,0,0,0,0
"80",12403,"B03002_004",0,21.9393665165731,0,0,0,0
"81",12404,"B03002_004",0,21.939366516575,0,0,0,0
"82",12405,"B03002_004",0,21.9393665165786,0,0,0,0
"83",12406,"B03002_004",0,21.9393665165786,0,0,0,0
